score	negative_comment	city_name	date	positive_comment	target	overall_comment
10		kao-hsiung	2018年8月6日		宫赏艺术大饭店	双床间，床实在太小，晚上翻身差点摔下地，另外没有台灯。
10		kao-hsiung	2018年8月3日		宫赏艺术大饭店	非常好的体验
10		kao-hsiung	2018年8月12日		华大商旅	空间很大，靠近捷运站，工作人员很热情，性价比超高
8.3		kao-hsiung	2018年6月25日		华大商旅	員工熱情周到。
5.8		kao-hsiung	2017年9月19日		富驿商旅高雄中华路馆 	不洗煙味的不推
10		kao-hsiung	2017年8月26日		富驿商旅高雄中华路馆 	Lobby好美，房間裝潢很多巧思，很舒適。
9.0		kao-hsiung	2017年6月15日		单人房住宿空间 - 高雄林森馆	很棒，早餐是一个三明治，咖啡可以自助喝。
9.6		kao-hsiung	2017年6月13日		单人房住宿空间 - 高雄林森馆	虽然单人房很小，但是整个住宿流程下来感觉意外的顺利...
10		t-ai-pei	2018年8月6日		信星青年旅馆 - 台北车站	環境舒適
10		t-ai-pei	2018年8月2日		信星青年旅馆 - 台北车站	公共空間一級棒
10		kao-hsiung	2017年8月8日		鸟巢顶级商旅	酒店很漂亮，一进大厅感觉就很好，房间蛮大的，厕所也很精致...
10		kao-hsiung	2017年8月8日		鸟巢顶级商旅	一开始看了酒店的照片订了，感觉很一般...
7.1		kao-hsiung	2017年8月7日		家和商旅	房间空调有问题
7.0		kao-hsiung	2017年7月31日		家和商旅	地点距离高铁左营站较远的
10		kao-hsiung	2018年10月19日		城市商旅 - 真爱馆	很干净，房间也够大，不会很迷你，床也很舒服，落地窗很大
7.1		kao-hsiung	2018年9月25日		城市商旅 - 真爱馆	我選擇了海港房，陽台應該放張椅子可以欣賞風景吧
8.8		kao-hsiung	2019年1月27日		德立庄 - 高雄博爱馆	性價比很高的住宿
6.7		kao-hsiung	2019年1月23日		德立庄 - 高雄博爱馆	除了房间小，其他都不错。
10		kao-hsiung	2018年9月12日		塩旅社	非常棒
9.6		kao-hsiung	2018年9月8日		塩旅社	下次還會來住這邊，設施很新，挺棒的
9.2		kao-hsiung	2018年7月24日		宫赏艺术大饭店	房间布置好，洗漱用品居然是欧舒丹的，惊喜。
8.8		kao-hsiung	2018年7月19日		宫赏艺术大饭店	满意
7.9		kao-hsiung	2018年5月29日		华大商旅	空调器行好了
5.0		kao-hsiung	2018年5月3日		华大商旅	 没
7.9		kao-hsiung	2017年8月2日		富驿商旅高雄中华路馆 	早餐挺好吃
7.5		kao-hsiung	2017年7月7日		富驿商旅高雄中华路馆 	位置方便~
8.3		kao-hsiung	2017年6月4日		单人房住宿空间 - 高雄林森馆	有公共浴场和桑拿可以放松，staff的服务都很周到友善...
10		kao-hsiung	2019年5月20日		单人房住宿空间 - 高雄林森馆	超讚
